date,amzn_close,amzn_volume,fb_close,fb_volume,intc_close,intc_volume
3/31/2016,593.640015,2681800,114.099998,21207500,32.349998,17880000
4/1/2016,598.5,2917400,116.059998,24760500,32.450001,18049700
4/4/2016,593.190002,2470800,112.550003,48487900,32,21581600
4/5/2016,586.140015,2308900,112.220001,22962400,31.9,20080000
4/6/2016,602.080017,2849900,113.709999,20814600,32.080002,15740600
4/7/2016,591.429993,3189000,113.639999,20714500,31.549999,23738200
4/8/2016,594.599976,2591900,110.629997,48497800,31.629999,17031900
4/11/2016,595.929993,2704300,108.989998,39762300,31.67,19707700
4/12/2016,603.169983,2641100,110.610001,26248100,31.860001,16774200
4/13/2016,614.820007,4228300,110.510002,88227400,32.130001,19968100
4/14/2016,620.75,3512100,110.839996,28473300,31.799999,21620900
4/15/2016,625.890015,2887700,109.639999,20922800,31.459999,28782800
4/18/2016,635.349976,4360900,110.449997,21167200,31.65,21566600
4/19/2016,627.900024,4055900,112.290001,30210500,31.6,33619300
4/20/2016,632.98999,2609400,112.419998,21027900,32,57629800
4/21/2016,631,2596300,113.440002,20875200,31.969999,28431400
4/22/2016,620.5,5083900,110.559998,38458200,31.639999,29625600
4/25/2016,626.200012,2682900,110.099998,21017900,31.389999,19315700
4/26/2016,616.880005,2521400,108.760002,22521500,31.4,20976400
4/27/2016,606.570007,4068800,108.889999,52213100,31.75,20006200
4/28/2016,602,7872600,116.730003,87110100,31.110001,25146400
4/29/2016,659.590027,10310700,117.580002,37140600,30.280001,36443700
5/2/2016,683.849976,6578500,118.570000,28095200,30.610001,21086600
5/3/2016,671.320007,4923400,117.430000,24117500,30.360001,27111100
5/4/2016,670.900024,4635500,118.059998,23448400,29.85,23278800
5/5/2016,659.090027,4884100,117.809998,22056700,29.092021,23393300
5/6/2016,673.950012,4365300,119.489998,26395600,30.040001,19632200
5/9/2016,679.75,3982200,119.239998,21138100,29.799999,16888300
5/10/2016,703.070007,6105600,120.500000,23220000,30.139999,17013800
5/11/2016,713.22998,7338200,119.519997,22038400,30.059999,15754200
5/12/2016,717.929993,5048200,120.279999,22035500,29.76,20826700
5/13/2016,709.919983,4763400,119.809998,18124300,29.91,19999600
5/16/2016,710.659973,5432900,118.669998,31247800,30.389999,21826100
5/17/2016,695.27002,5121400,117.349998,21328600,29.98,25709900
5/18/2016,697.450012,4283200,117.650002,21642300,29.99,22469900
5/19/2016,698.52002,3025600,116.809998,20544100,29.629999,21740900
5/20/2016,702.799988,2916200,117.349998,18944800,30.15,22777300
5/23/2016,696.75,2595100,115.970001,20441000,30.23,20881900
5/24/2016,704.200012,3033800,117.699997,20183600,31.059999,23699200
5/25/2016,708.349976,3267700,117.889999,20019800,31.389999,18359600
5/26/2016,714.909973,2446700,119.470001,18481300,31.49,12692300
5/27/2016,712.23999,2249200,119.379997,13493600,31.57,13341300
5/31/2016,722.789978,3618300,118.809998,23547600,31.59,23040200
6/1/2016,719.440002,3263100,118.779999,15029500,31.66,17753500
6/2/2016,728.23999,3026600,118.930000,13228300,31.76,14140100
6/3/2016,725.539978,3367300,118.470001,14135100,31.620001,15777500
6/6/2016,726.72998,2704800,118.790001,12744700,31.68,15139600
6/7/2016,723.73999,2732500,117.760002,17103000,31.879999,19339100
6/8/2016,726.640015,2223400,118.389999,14505600,31.889999,12732100
6/9/2016,727.650024,2170300,118.559998,13859200,31.940001,11276800
6/10/2016,717.909973,3425700,116.620003,18510800,32.040001,35749100
6/13/2016,715.23999,3352200,113.949997,31718200,32.169998,23004800
6/14/2016,719.299988,2506900,114.940002,17618500,32.139999,18754300
6/15/2016,714.26001,2709400,114.599998,19819400,31.610001,23783300
6/16/2016,717.51001,3098000,114.389999,19236300,31.690001,18547900
6/17/2016,706.390015,5897800,113.019997,24644300,31.76,27047900
6/20/2016,714.01001,3677200,113.370003,20785400,32.169998,21961600
